TC_mean,TH1_mean,IL6_mean,IL12_mean,IFNG_mean,Ag_mean,IGG_mean,LEP_mean
582.5079365079365,4397.690476190476,137.9683794466403,90729.96442687747,549162.8023715415,98.91269841269842,0.0,287.8253968253968
561.75,656.3531746031746,348.5098814229249,14703.09486166008,73865.12252964427,33.214285714285715,518.8650793650794,289.1309523809524
587.2103174603175,4318.630952380952,261.40316205533594,101914.33596837944,487980.54545454547,30.17063492063492,3826.0753968253966,288.9246031746032
567.5992063492064,1207.547619047619,73.13438735177866,20722.727272727272,123959.83794466403,8.13888888888889,1800.4563492063492,300.1468253968254
654.563492063492,3525.436507936508,873.8181818181819,64900.30039525692,361557.652173913,35.38492063492063,1521.9166666666667,271.91269841269843
567.718253968254,1816.797619047619,29.877470355731226,29363.932806324112,188223.5415019763,35.72222222222222,691.8928571428571,289.52777777777777
575.936507936508,418.031746031746,370.8695652173913,26763.213438735176,48433.33201581028,17.30952380952381,1462.4285714285713,289.25
566.5079365079365,8.55952380952381,69.01185770750988,7589.833992094862,424.3517786561265,3.7698412698412698,2807.285714285714,293.6587301587302
695.8531746031746,1954.0992063492063,1883.304347826087,28437.561264822136,180901.88537549408,78.68650793650794,34.892857142857146,251.42857142857142
568.3769841269841,78.47619047619048,1102.6126482213438,10367.426877470356,10977.229249011858,36.62698412698413,527.8174603174604,262.2579365079365
594.3373015873016,6018.210317460317,793.0711462450593,152180.89328063242,730728.418972332,52.0,2218.65873015873,272.86507936507934
611.3373015873016,3184.3611111111113,443.74308300395256,55782.66403162055,322177.9249011858,32.301587301587304,1456.1150793650793,285.24603174603175
562.0833333333334,7.726190476190476,0.0,2646.5731225296445,101.48221343873517,1.996031746031746,253.02777777777777,296.0833333333333
607.6150793650794,4381.924603174603,937.905138339921,97114.1581027668,506006.07114624506,36.02777777777778,6990.1150793650795,270.10714285714283
619.2261904761905,4631.194444444444,787.6482213438735,71914.72727272728,482038.00790513837,72.63888888888889,620.3650793650794,271.73809523809524
569.0753968253969,14.011904761904763,0.0,8138.051383399209,4630.865612648221,110.99603174603175,3604.3333333333335,290.36507936507934
600.686507936508,2054.3214285714284,302.75494071146244,36198.260869565216,216702.9486166008,25.785714285714285,3669.9841269841268,289.9047619047619
663.0,1359.626984126984,853.798418972332,24615.8814229249,123013.22924901186,32.61507936507937,4030.996031746032,271.85714285714283
691.6706349206349,988.7857142857143,1627.110671936759,15105.837944664032,84814.49802371541,29.11904761904762,1775.8809523809523,252.83333333333334
566.5515873015873,1952.8968253968253,24.952569169960473,77075.04743083003,271839.1699604743,70.15873015873017,1450.547619047619,295.05555555555554
563.9126984126984,1600.1825396825398,0.0,80769.16600790514,296306.652173913,50.61904761904762,2084.996031746032,300.8253968253968
625.6507936507936,516.0198412698413,548.8695652173913,9546.217391304348,52572.102766798416,32.09126984126984,1224.1626984126983,284.9404761904762
559.4801587301587,6.091269841269841,0.0,16112.699604743084,125.27667984189723,2325.1944444444443,514.8888888888889,275.484126984127
566.4444444444445,2241.968253968254,34.59288537549407,59890.39920948617,307129.0750988142,50.05555555555556,1477.376984126984,293.67857142857144
565.9761904761905,5464.075396825397,93.92885375494072,129879.19367588933,665022.2292490118,24.285714285714285,5928.674603174603,293.87698412698415
704.0357142857143,2614.626984126984,1296.4584980237155,36855.6837944664,246776.6600790514,49.142857142857146,2805.1666666666665,256.51984126984127
577.2936507936508,1259.5396825396826,87.80632411067194,27325.12648221344,123834.60869565218,43.86507936507937,0.0,292.1746031746032
608.3571428571429,1995.6468253968253,817.098814229249,28959.355731225296,186518.03162055335,6.714285714285714,709.3650793650794,277.96031746031747
658.3611111111111,478.85714285714283,666.9525691699605,15029.249011857708,54343.438735177864,30.900793650793652,3588.1785714285716,278.7857142857143
606.7619047619048,2498.4523809523807,339.77470355731225,33383.229249011856,254838.1422924901,10.38888888888889,4383.464285714285,281.8333333333333
558.8849206349206,6.845238095238095,8.557312252964428,10663.328063241106,300.8814229249012,60.404761904761905,0.0,297.3452380952381
580.9325396825396,41.92857142857143,962.1462450592885,31835.019762845848,4637.533596837945,34.56349206349206,662.4126984126984,263.484126984127
626.6468253968254,199.47619047619048,1306.1185770750988,16473.96837944664,31820.379446640316,22.408730158730158,5554.599206349207,259.6666666666667
643.5198412698413,1459.3214285714287,1140.0830039525692,37115.656126482216,173138.41106719367,25.134920634920636,1422.9246031746031,270.468253968254
